tweet,OFF,HS,VLG,VIO,HS_HS1,HS_HS2,HS_HS3,HS_HS5,HS_HS6,HS_NOT_HS
@USER اقسم بالله اني اشوف انك تاكل تبن أحسن لك ياطبل ياطار للبنات والفساد انطم ياذكر بعيد كل البعد عن الرجوله ياحيف بس اذا عاجبك اللي صار ليه ماوديت اهلك وخليتهم يعطون رايهم ويصورون ولد الناس اللي ابتلش من اللي تصفق لهم الخلا مير الخلا ياتسلب👎🏻,1,HS6,0,0,0,0,0,0,1,0
#بايع_الكليجا قلة أدب وادوختونا صدق🤢,1,NOT_HS,0,0,0,0,0,0,0,1
بيجيبون لي امراض الدنيا وانا توني بعمر الزهور💩💔💔💔💔💔💔💔,0,NOT_HS,0,0,0,0,0,0,0,1
#بايع_الكليجا <LF><LF>الله يفضحكم فضحتونا بين العربان 😷,1,NOT_HS,0,0,0,0,0,0,0,1
#بايع_الكليجا ي بنات وش ذا حسبي الله عليكم <LF><LF>أتقوا الله وأرتقوا ،،، أيش كمية الانحطاط بالتاق 👎🏻<LF><LF>( مَا يَلْفِظُ مِن قَوْلٍ إِلا لَدَيْهِ رَقِيبٌ عَتِيدٌ ),1,HS6,0,0,0,0,0,0,1,0
@USER بسم الله علي 🔪,0,NOT_HS,0,0,0,0,0,0,0,1
@USER طيب لا تدف 😤🤣,0,NOT_HS,0,0,0,0,0,0,0,1
@USER حقش حق وحق الناس مرق😤😤😤😤,0,NOT_HS,0,0,0,0,0,0,0,1
@USER رخم 😂👊,1,NOT_HS,0,0,0,0,0,0,0,1
الي يبيع الكليجا لابس كمام 😷<LF>من ريحة اديوسهن وريحة اباطهن المعفنه الله لايلومك <LF><LF> #بايع_الكليجا,1,HS5,0,0,0,0,0,1,0,0
@USER ممحون 🐶🐕,1,NOT_HS,0,0,0,0,0,0,0,1
بعض الأشخاص بسبب إنجازاتهم يستحقون كتاب شكر 📜 يحتوي صورة شخصية بفلتر (م ط ي🐴),0,NOT_HS,0,0,0,0,0,0,0,1
@USER بس يا بنت 😠😠😠,0,NOT_HS,0,0,0,0,0,0,0,1
رسالة الرئيس <LF>عبد الفتاح السيسي <LF>لرئيس الأركان من مقر القيادة بشرق القناة <LF>يامحمد عاوزك تشيل الإرهابيين من علي وش الأرض 👊,0,NOT_HS,0,0,0,0,0,0,0,1
@USER بس اخاف نصاب بالسمنه😣😣😣😣😣😣,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER وياريت كلنا نواسى أصحاب الجيوب الأنفية وحساسية الأنف والصدر ، لأنهم يتعذبون الآن 😧😷😢,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER إذا كان ع التفاح ي آبل مفيش اكترمنه😂😂👊 URL,0,NOT_HS,0,0,0,0,0,0,0,1
حد لاقي ياابني 😂👊 URL,0,NOT_HS,0,0,0,0,0,0,0,1
@USER الهاجوس يابو فارس ماريحنا متاملين فيه خير 😷,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER بغسلهم عقب ماغسل شراعكم انتما معاً بارك الله فيكما😡😏,0,NOT_HS,0,0,0,0,0,0,0,1
شكلي بس انا الوحيدة اللي اكره الشيلات 😷,0,NOT_HS,0,0,0,0,0,0,0,1
#بايع_الكليجا <LF>مدري وشفيهم النسوان انهبلووو هبل اقسم بالله ..تقليد + مرض شهره ما تدري وش تسوي ومرض اخر التخريب انا خربانه خرب الشله 🙃😷,1,HS6,0,0,0,0,0,0,1,0
@USER من جد 🤢,0,NOT_HS,0,0,0,0,0,0,0,1
@USER بنظفونها وبيرجع الغبار 😷🌚,0,NOT_HS,0,0,0,0,0,0,0,1
@USER ليه الافتري دا ✋ 😓 👊 😂 💔,0,NOT_HS,0,0,0,0,0,0,0,1
الحقيقه والله شي مخجل اللي شفته<LF>كمية جرأه مقززه في البنات بشكل لايوصف<LF>وين الحياء والحشمه؟<LF>الظاهر ماعاد به حياء ولا حشمه في الجيل هذا إلا ما رحم ربي 😷<LF>#بايع_الكليجا,1,HS6,0,0,0,0,0,0,1,0
@USER لا والله ياخوي محد يرضى 👎🏻👎🏻👎🏻,0,NOT_HS,0,0,0,0,0,0,0,1
#الكووره_للعيال <LF><LF>ككوولوووزززققققققق 😊💩💩.,1,NOT_HS,0,0,0,0,0,0,0,1
@USER يارجال انت لو خايف على مصلحة الاتحاد مافتحت الموضوع الى مابعد بطوله الملك للاسف كنت احترمك كاعلامي اتحادي 👎🏿,0,NOT_HS,0,0,0,0,0,0,0,1
@USER انتي هتقوليلي 😂😂👊✊,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER ماابي احلف بس واثق تماما ان وجودي مسبب لأغلبكم سعاده كلامي صح ولا اكيد!؟🌚🔪,0,NOT_HS,0,0,0,0,0,0,0,1
"@USER لا والله انها قليلة ذوق تنظر لرجل غير زوجها . وعيب اساس تنظر لشخص غير زوجها اساس شكلها وهي متخرفنه ع بايع ذا اكبر قذرة واكبر قله ادب نعم اهجدو مذابكم ورب الكعبه ي اخواني عندي انهم اجمل من وجهه مليون مرا عادي جدا مااشوف جمال الى تشوفونه زعجتونا ترا ""هه بس👊🏻👊🏻.",1,NOT_HS,0,0,0,0,0,0,0,1
#بائع_الكليجا تعليقي هو : ياتبارك الرحمن لا إله إلا الله 🤢,0,NOT_HS,0,0,0,0,0,0,0,1
#اصدقا_الوناسه_وينهم في البحرين 👎😾 URL,0,NOT_HS,0,0,0,0,0,0,0,1
٣ ايام وانا احلم احلام 💩,0,NOT_HS,0,0,0,0,0,0,0,1
@USER واللي جالسين في فنادق الرياض ثلاث سنوات ويستنزفون التحالف وش تسميهم!! عليكم من الله ماتستحقون 👎,1,NOT_HS,0,0,0,0,0,0,0,1
بعض مصطلحات ال amrican slangs<LF><LF>An arm and a leg =  غالي جدا<LF>Ants on your pants = متوتر جدا لدرجة انه لايستطيع الجلوس وكأن فيه نمله في بنطلونه😂<LF><LF>Armpit = الابط وهذي تستخدم للتعبير عن النتانه والقذارة 😷<LF><LF>At the end of rope= متورط للغاية على قولة المصريين حبل المشنقة لاف حول رقبته,1,NOT_HS,0,0,0,0,0,0,0,1
@USER عيش ياااابطال 👊👍💪☝<LF>كلها 4/1 وهكون من الأبطال <LF>اقول اية علينا دولت اقول اية..,0,NOT_HS,0,0,0,0,0,0,0,1
المشاوير 🤢🤕,0,NOT_HS,0,0,0,0,0,0,0,1
@USER لو فهمت غلط  م قلت صديقي 😂😂😂🔪,0,NOT_HS,0,0,0,0,0,0,0,1
#صلاه_الجنازه_القادمه_انت<LF>المستدعشين فاهمين النصيحة غلط 👊🏻,0,NOT_HS,0,0,0,0,0,0,0,1
@USER انتم تسمعوني ولا تستهبلون؟!<LF>مادريت عن حق الكلجا ذا الي طفشتونا فيه ولا اهتميت له<LF><LF>كلامي عن وصفك بان لا نبوة للنساء لانهن غير وفيات <LF>تقدر تنتقد تصرف البنات دون التقول في الدين يا مقطعين الوفاء<LF><LF>فهمتوا؟ تعتبت وانا اشرح🔪,1,HS6,0,0,0,0,0,0,1,0
قلتله مسامحه 😣😟اني<LF><LF>كلمة وقالها لساني<LF><LF>بس بقلبي شي ثاني<LF><LF>منه تعبانة وخسرني🤣🤣🤣,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER #نبي_قصه_عشق<LF>قصه عشق احلى موقع مسلسلات😹😹👊🏻,0,NOT_HS,0,0,0,0,0,0,0,1
يا شين الخليجي اذا سوى فيها مهند 😷🤮🤢🤧🤯 URL,1,NOT_HS,0,0,0,0,0,0,0,1
@USER وش قلة الادب هذي ؟ 😳😷,1,NOT_HS,0,0,0,0,0,0,0,1
😡تعبت من الوزن الزائد تريد تنحف..💪😍 راسلني خاص📨💙 وابعت وزنك وطولك ...ولك الحل🔥🔥💛<LF><LF>#صلاه_الجنازه_القادمه_انت<LF>#اصدقا_الوناسه_وينهم<LF>#السعودية_عز_وفخر<LF>#اصدقا_الوناسه_وينهم<LF>#بايع_الكليجا URL,0,NOT_HS,0,0,0,0,0,0,0,1
@USER وش فيك يا مطحون 😂😂👞 URL,0,NOT_HS,0,0,0,0,0,0,0,1
@USER لسه بتآوح😡,0,NOT_HS,0,0,0,0,0,0,0,1
#بايع_الكليجا الحمدلله والشكر افتكينا من خرفان ايفانكا جونا خرفان بايع الكليجا😷.,1,NOT_HS,0,0,0,0,0,0,0,1
@USER وتت ذا قاع يقذف 🌝🔪,0,NOT_HS,0,0,0,0,0,0,0,1
@USER مظنش 💔 😂 متزوج بقاله شهر ونفسه يتزوج الرابعة 💔😂👊,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER كنا مغشوشيين فيهم باخلاقهم  ومذهبهم الدموي😣,1,HS3,0,0,0,0,1,0,0,0
@USER بعيد عن سوء كلامه<LF>ليته بس على ترفعه عن المرأه يحسن من سلوكياته وتصرفاته<LF>مشيته كنه بنت<LF>وتصرفاته ورقصه😷,1,NOT_HS,0,0,0,0,0,0,0,1
@USER فضحتينا👊🏼,1,NOT_HS,0,0,0,0,0,0,0,1
@USER اتعس شي بعد المباراة وانت خسران و مغبون تشوفه ينزل الملعب و يسلم على اللاعبين و يتبوسم و الوضع طبيعي عنده 😡,0,NOT_HS,0,0,0,0,0,0,0,1
@USER يع خلاص تومتش !!😐🤢,0,NOT_HS,0,0,0,0,0,0,0,1
@USER والله يعينش على نفسش ❤️🐑🐑,0,NOT_HS,0,0,0,0,0,0,0,1
@USER فعلاً اععععع 🤮,0,NOT_HS,0,0,0,0,0,0,0,1
@USER هههههههههههههههه خلاص على كذا ماراح انام بدري😂👊,0,NOT_HS,0,0,0,0,0,0,0,1
@USER اههاا يعني يالحريم خقو علي تراي معكم .. ياكثرهم 😂💩💩,0,NOT_HS,0,0,0,0,0,0,0,1
@USER ان كان لك حق انا م كان لك حق بتجي فيكك ي قذر 👊🏽,1,NOT_HS,0,0,0,0,0,0,0,1
RT @USER اسوء الرجال من يتحدث👎🏻<LF>عن محبوبتنه للاخرين 😔<LF>ليجعل منها فريسه سهله💔💔,1,NOT_HS,0,0,0,0,0,0,0,1
@USER بس بقى 👊👊👊👊,0,NOT_HS,0,0,0,0,0,0,0,1
الواضح انه صباح 👎🏻,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER الهندي قاعد يثبت للمعزّب إن الخروف 🐑صار صديقه حتى ما يذبحه 😂 URL,1,HS1,0,0,1,0,0,0,0,0
@USER كبيه الله لايسامحه كلب يعاملنا على انحن دجاج 🔪🔪,1,NOT_HS,0,0,0,0,0,0,0,1
@USER 😣😣😣😣😣الله ينقص ويزيد,0,NOT_HS,0,0,0,0,0,0,0,1
@USER احسن 👊😁,0,NOT_HS,0,0,0,0,0,0,0,1
@USER صوت اللي تصور🤢,0,NOT_HS,0,0,0,0,0,0,0,1
@USER طيب ليش حاطه التسليم قبل الدفع 🤔 المفروض ادفع بعدين استلم بس طريقتها مضحكة و غبية 😂😂😂😷,1,NOT_HS,0,0,0,0,0,0,0,1
انا مش عارفه اي عدم الحياء الي الناس بقت في ده 😡😡😡,1,NOT_HS,0,0,0,0,0,0,0,1
عنز 🐐🐐,1,NOT_HS,0,0,0,0,0,0,0,1
@USER هههههههههههههههههههههههههههههههههههههههههههه خططي وارسمي عليه لاتخلينه يضيع 🔪😤,0,NOT_HS,0,0,0,0,0,0,0,1
@USER اي 🙂🔪,0,NOT_HS,0,0,0,0,0,0,0,1
يالله صباح خير الواحد يرسل شي جميل تخيل بس تبدا يومك بالاهلي اي شوم بالله عليك 🐸<LF>#الاهلي,0,NOT_HS,0,0,0,0,0,0,0,1
غالبيتكم عملاء لذا الاحتلال جاثم فوق رؤوسكم😡👎 URL,1,HS3,0,0,0,0,1,0,0,0
@USER لا عاد هو يسوي نفسه انا المز😷😂,0,NOT_HS,0,0,0,0,0,0,0,1
@USER نتعوذ من الشيطان 🤢🙂🔪,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER #اصدقا_الوناسه_وينهم<LF> اداع 4768940000مليون في حسابك😌<LF>اقروا الرقم زين وقولوا امين بلاش حسد😕🔨🗡<LF><LF>😂👊🏻,0,NOT_HS,0,0,0,0,0,0,0,1
اللي يشوف كلام هيلاري راح يحط 👞 بفم كل واحد ينكر وجود مؤامرات ضد دولتنا والدول المجاورة وما ان تنتهي مؤامرة تكون دستة مؤامرات جاهزة ضدنا<LF>طبعا اذنابهم بيننا تعتبرهم هو الاستثمار الحقيقي على المدى البعيد غير الاعتراف شبه الحقيقي بخلق داعش ومساعدة الاخونج عليهم اللعنة جميعا,1,HS3,0,0,0,0,1,0,0,0
يا الله بختنق 🤢,0,NOT_HS,0,0,0,0,0,0,0,1
@USER خلاص اشغلتنا 🤢,0,NOT_HS,0,0,0,0,0,0,0,1
@USER سحبتوا مني لكن ما جاء شي ع الايميل 😡💥 URL,0,NOT_HS,0,0,0,0,0,0,0,1
@USER يستااااار 👊 👊,0,NOT_HS,0,0,0,0,0,0,0,1
@USER ايفانكا كلنا ندري طقطقه ولاهي داريه عن هوى دارهم بس اللي م يستحون هذا سعوووووودي احرجوه واحرجوا اهله منجد ان لم تستح فأفعل ماتشاء تربيه👎🏽,1,NOT_HS,0,0,0,0,0,0,0,1
@USER والله مافيه مسعورين زي العيال 🤮,1,NOT_HS,0,0,0,0,0,0,0,1
@USER انتي ماقلتي شي بهالمناسبه 👊,0,NOT_HS,0,0,0,0,0,0,0,1
@USER تاريخهم اسود من يومهم الله يجعلهم من كذا واردى👎,1,NOT_HS,0,0,0,0,0,0,0,1
زعلت زيادة لأني ماشفت وجهك كثير👎🏻,0,NOT_HS,0,0,0,0,0,0,0,1
لا مش وكده وبس لما روحت الجامعه اكتشفت ان انا محضر جدول التلات مش الاتنين وعليا النهارده رسم 😤😤😤,0,NOT_HS,0,0,0,0,0,0,0,1
#تميم_قايدنا_وحمد_عدونا  الحمدالله اني مو قطريه 😩😷😷😷😷😷😷,1,HS1,0,0,1,0,0,0,0,0
RT @USER طيب لاتصيحح يا اخوي ترى الدعوة كرة قدم 😂😂🐸,0,NOT_HS,0,0,0,0,0,0,0,1
@USER وينه دا وينه جبوولي هوا اتفاهم معاه 😡😡😡😡,0,NOT_HS,0,0,0,0,0,0,0,1
@USER يااااو فديت الخشه 😄👊🏻,0,NOT_HS,0,0,0,0,0,0,0,1
@USER فعلا كلشي بسببها بس يالي قهرني هي بتتكلم و الكاميرا عليها طول الربورتاج بس بارش لا كانو هي النجمة لامعة و بارش الحارس 💂 الشخصي ليش هذا الانحياز في الصحافة ليش نسيو نجومية بارش و شعبيتو في تركيا راحت الهيبة بتاع بارش 😥صحافة تافهة صراحة 😒 👎,1,NOT_HS,0,0,0,0,0,0,0,1
@USER 👊😂😂😂😂ياارب بس متاخدكيش الجلاله تانى وتقاوحينى لما اقولك هتكسلى بعد كده😂😂💔,0,NOT_HS,0,0,0,0,0,0,0,1
@USER انتي بتفضحي البت هنا عشان مش هتشوفها👊😂😂😂😂😂😂😂😂,0,NOT_HS,0,0,0,0,0,0,0,1
@USER لقطة جولاق ما حمستني قهرتني😭💔💔<LF>الصور =💩,0,NOT_HS,0,0,0,0,0,0,0,1
شعب الله المُتحَشِر🤮,1,NOT_HS,0,0,0,0,0,0,0,1
صباح الخير 💩.,1,NOT_HS,0,0,0,0,0,0,0,1
RT @USER بينما انا قاعدة بالبنك ناطرة دوري 😊، سمعت موظفة عّم تلقي محاضرة طبية لزبون سعل عدة مرات قدامها 😷و بلشت تحكيلو عن فوائد الدوش…,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER عشت فى البلد سنيين طوال وشفت فيها استفتاءات وانتخابات  عجيبه وغريبه بس عمرة ما شفت فى سخافه اللى بيحصل الان 😡,0,NOT_HS,0,0,0,0,0,0,0,1
@USER 😤واللي تقصر عباته شبرين وتطلع بعد طويلة,0,NOT_HS,0,0,0,0,0,0,0,1
أوكي مو كل عطر رجالي يناسب بنت !!!! 😷💔,0,NOT_HS,0,0,0,0,0,0,0,1
@USER نصاب لااحاد يشتري تفو عليك يالجزمه 🖕,1,NOT_HS,0,0,0,0,0,0,0,1
اوفففففر عااد 😡 بعض الحريم مادري بهم شفاحه ولا قلة ادددب ؟؟؟؟ عيب والله!!!! URL,1,HS6,0,0,0,0,0,0,1,0
@USER شوفي #بوعصا شن كاتب😷,0,NOT_HS,0,0,0,0,0,0,0,1
تبقى معدية ماتسلمش عليا عينها فعنياااا ينفع كدا يرضيكوا كذا لاااء لااءء لا لااء 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER صارت لي بالثانوي ! جيت متاخر ٧ وقالت طالعه مع واحد؟ المشكله اهلي موصليني المدرسه وانا كنت غبيه ساكته ماعرف اتكلم 😡…,1,NOT_HS,0,0,0,0,0,0,0,1
@USER مرة الجاية ختي Tag بدل تخلينا نفتش في الFollowing بتاعك 😡❤️,0,NOT_HS,0,0,0,0,0,0,0,1
@USER ياريت  😂😂🐸🙈❤,0,NOT_HS,0,0,0,0,0,0,0,1
دعايات زعل وخضرا ع التلفزيون الاردني بتمغص 😷😷😫,1,NOT_HS,0,0,0,0,0,0,0,1
@USER برافو يا مريسيل اقسم بالله انك أذكى اعلامي<LF>يقولكم  الدوري 💙 بالريوس 😂<LF>يا جمهور الأهلي اتركو #المريسيل_يتكتك<LF>هذا تكتيكه للدوري ليتحول للاهلي💚<LF>الآسيوية أضاعها الهلال بسبب المريسيل جعلهم يعيشون في وهم ترشيحه لهم<LF>وسقطو في متاهات ومصيدة المريسيل كالعاده 😂<LF>واكلهم اوراوا ساده 😂🐒🍌,1,HS3,0,0,0,0,1,0,0,0
@USER تقلقن حنوكك انت وياهم همداكم قسم اني مشغول واشغلتوني 😤👐😂,0,NOT_HS,0,0,0,0,0,0,0,1
وش هالشفاحه والانحطاط بالتاق من اغلب البنات ، حتى لو العيال تغزلو ببنت ترامب وغيره من اعذاركم السخيفه ، نظل بنات !!<LF>عجبك امدحي بنفسك وبين اللي حولي مو لازم كل العالم تعرفك انك مشفوحه الله لا يبلانا 😷 #بايع_الكليجا,1,HS6,0,0,0,0,0,0,1,0
RT @USER ألحظه السعاده ...ياويلكم ياعذال ..تهزاوا مكاني ..واصل حدي ههه😆😆<LF>كلام عادي وربي في الزمن مردوا غدار في الشيطنه ...😣😟,0,NOT_HS,0,0,0,0,0,0,0,1
ابعتيلى طيب 😂👊🏼 URL,0,NOT_HS,0,0,0,0,0,0,0,1
